s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	stage	module	dataset	param_hash	params	lineage	path
3.3795	1037.56	10367.2	1030.61	1030.66	0.0	3.7	91.24	3.7	PCA	pc-rapids	be1-fixture	027ea001	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""n_components"": 50, ""random_seed"": 46, ""solver"": ""randomized-halko""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rapids	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rapids/.027ea001/be1-fixture_performance.txt
3.9393	1004.61	10323.6	1004.14	1004.19	5.06	3.7	91.04	4.16	PCA	pc-rapids	be1-fixture	08c55646	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""n_components"": 50, ""random_seed"": 45, ""solver"": ""covariance-eigh""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rapids	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rapids/.08c55646/be1-fixture_performance.txt
3.611	1032.31	10356.2	1027.39	1027.44	0.0	3.7	84.94	3.65	PCA	pc-rapids	be1-fixture	20b14d38	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""n_components"": 50, ""random_seed"": 44, ""solver"": ""randomized-halko""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rapids	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rapids/.20b14d38/be1-fixture_performance.txt
4.5338	1091.31	10435.4	1094.54	1094.58	0.84	3.7	98.36	4.67	PCA	pc-rapids	be1-fixture	2144446e	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""n_components"": 50, ""random_seed"": 42, ""solver"": ""lanczos""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rapids	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rapids/.2144446e/be1-fixture_performance.txt
3.347	1038.02	10367.2	1029.13	1029.18	0.0	3.7	91.7	3.68	PCA	pc-rapids	be1-fixture	22fa1a5e	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""n_components"": 50, ""random_seed"": 43, ""solver"": ""randomized-halko""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rapids	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rapids/.22fa1a5e/be1-fixture_performance.txt
6.2007	1099.77	10444.05	1093.47	1093.52	0.0	3.7	92.5	6.26	PCA	pc-rapids	be1-fixture	254daab8	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""n_components"": 50, ""random_seed"": 45, ""solver"": ""lanczos""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rapids	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rapids/.254daab8/be1-fixture_performance.txt
3.7149	1087.04	10430.84	1083.22	1083.27	0.0	3.7	82.73	3.69	PCA	pc-rapids	be1-fixture	3416757a	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""n_components"": 50, ""random_seed"": 46, ""solver"": ""lanczos""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rapids	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rapids/.3416757a/be1-fixture_performance.txt
3.6082	1002.48	10396.74	997.6	997.65	0.0	3.7	85.11	3.69	PCA	pc-rapids	be1-fixture	3b57412e	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""n_components"": 50, ""random_seed"": 44, ""solver"": ""covariance-eigh""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rapids	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rapids/.3b57412e/be1-fixture_performance.txt
3.8011	1087.84	10431.83	1082.89	1082.95	0.0	3.7	80.96	3.68	PCA	pc-rapids	be1-fixture	4fb25ed3	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""n_components"": 50, ""random_seed"": 44, ""solver"": ""lanczos""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rapids	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rapids/.4fb25ed3/be1-fixture_performance.txt
3.5536	1032.23	10356.21	1027.39	1027.43	0.0	3.7	86.56	3.68	PCA	pc-rapids	be1-fixture	78deb458	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""n_components"": 50, ""random_seed"": 45, ""solver"": ""randomized-halko""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rapids	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rapids/.78deb458/be1-fixture_performance.txt
