s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	stage	module	dataset	param_hash	params	lineage	path
2.5915	0.0	0.0	0.0	0.0	0.0	0.0	87.86	0.0	PCA	pc-rcppml	be1-fixture	087a24a2	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""backend"": ""cpu"", ""n_components"": 50, ""random_seed"": 46, ""solver"": ""lanczos""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rcppml	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rcppml/.087a24a2/be1-fixture_performance.txt
2.5846	0.0	0.0	0.0	0.0	0.0	0.0	87.21	0.0	PCA	pc-rcppml	be1-fixture	3ff807e6	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""backend"": ""cpu"", ""n_components"": 50, ""random_seed"": 42, ""solver"": ""lanczos""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rcppml	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rcppml/.3ff807e6/be1-fixture_performance.txt
2.5909	0.0	0.0	0.0	0.0	0.0	0.0	87.79	0.0	PCA	pc-rcppml	be1-fixture	4f0a959b	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""backend"": ""cpu"", ""n_components"": 50, ""random_seed"": 43, ""solver"": ""krylov""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rcppml	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rcppml/.4f0a959b/be1-fixture_performance.txt
2.588	0.0	0.0	0.0	0.0	0.0	0.0	88.26	0.0	PCA	pc-rcppml	be1-fixture	587df11b	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""backend"": ""cpu"", ""n_components"": 50, ""random_seed"": 46, ""solver"": ""krylov""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rcppml	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rcppml/.587df11b/be1-fixture_performance.txt
2.5898	0.0	0.0	0.0	0.0	0.0	0.0	87.91	0.0	PCA	pc-rcppml	be1-fixture	5c16324a	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""backend"": ""cpu"", ""n_components"": 50, ""random_seed"": 43, ""solver"": ""lanczos""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rcppml	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rcppml/.5c16324a/be1-fixture_performance.txt
2.5881	0.0	0.0	0.0	0.0	0.0	0.0	88.14	0.0	PCA	pc-rcppml	be1-fixture	6baaa866	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""backend"": ""cpu"", ""n_components"": 50, ""random_seed"": 44, ""solver"": ""lanczos""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rcppml	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rcppml/.6baaa866/be1-fixture_performance.txt
2.5831	0.0	0.0	0.0	0.0	0.0	0.0	88.23	0.0	PCA	pc-rcppml	be1-fixture	6db27f7e	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""backend"": ""cpu"", ""n_components"": 50, ""random_seed"": 44, ""solver"": ""krylov""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rcppml	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rcppml/.6db27f7e/be1-fixture_performance.txt
2.5836	0.0	0.0	0.0	0.0	0.0	0.0	88.08	0.0	PCA	pc-rcppml	be1-fixture	76d435cb	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""backend"": ""cpu"", ""n_components"": 50, ""random_seed"": 45, ""solver"": ""krylov""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rcppml	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rcppml/.76d435cb/be1-fixture_performance.txt
2.5742	0.0	0.0	0.0	0.0	0.0	0.0	59.69	0.0	PCA	pc-rcppml	be1-fixture	a593308e	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""backend"": ""cpu"", ""n_components"": 50, ""random_seed"": 42, ""solver"": ""krylov""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rcppml	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rcppml/.a593308e/be1-fixture_performance.txt
2.5836	0.0	0.0	0.0	0.0	0.0	0.0	88.44	0.0	PCA	pc-rcppml	be1-fixture	db24c1c6	"{""DATA"": {""uri"": ""https://omnibenchmark.mls.uzh.ch/datasets/be1-fixture/"", ""uri_type"": ""directory""}, ""FEAT"": {""number_selected"": 2000}, ""PCA"": {""backend"": ""cpu"", ""n_components"": 50, ""random_seed"": 45, ""solver"": ""lanczos""}}"	DATA/be1-fixture/FILT/fi-scrapper/NORM/nr-scrapper/FEAT/fe-scrapper/PCA/pc-rcppml	DATA/be1-fixture/.f612184b/FILT/fi-scrapper/.default/NORM/nr-scrapper/.default/FEAT/fe-scrapper/.b1d1078c/PCA/pc-rcppml/.db24c1c6/be1-fixture_performance.txt
