dataset	module	param_hash	phase	seconds
be1-fixture	pc-rapids	027ea001	load	0.06
be1-fixture	pc-rapids	027ea001	gpu_upload	0.026
be1-fixture	pc-rapids	027ea001	compute	0.211
be1-fixture	pc-rapids	027ea001	gpu_download	0.004
be1-fixture	pc-rapids	027ea001	write	0.157
be1-fixture	pc-rapids	2144446e	load	0.065
be1-fixture	pc-rapids	2144446e	gpu_upload	0.03
be1-fixture	pc-rapids	2144446e	compute	0.644
be1-fixture	pc-rapids	2144446e	gpu_download	0.004
be1-fixture	pc-rapids	2144446e	write	0.222
be1-fixture	pc-rapids	08c55646	load	0.075
be1-fixture	pc-rapids	08c55646	gpu_upload	0.031
be1-fixture	pc-rapids	08c55646	compute	0.499
be1-fixture	pc-rapids	08c55646	gpu_download	0.003
be1-fixture	pc-rapids	08c55646	write	0.171
be1-fixture	pc-rapids	8f460a50	load	0.058
be1-fixture	pc-rapids	8f460a50	gpu_upload	0.026
be1-fixture	pc-rapids	8f460a50	compute	0.565
be1-fixture	pc-rapids	8f460a50	gpu_download	0.003
be1-fixture	pc-rapids	8f460a50	write	0.163
be1-fixture	pc-rapids	20b14d38	load	0.055
be1-fixture	pc-rapids	20b14d38	gpu_upload	0.026
be1-fixture	pc-rapids	20b14d38	compute	0.237
be1-fixture	pc-rapids	20b14d38	gpu_download	0.005
be1-fixture	pc-rapids	20b14d38	write	0.167
be1-fixture	pc-rapids	813e1c9a	load	0.062
be1-fixture	pc-rapids	813e1c9a	gpu_upload	0.04
be1-fixture	pc-rapids	813e1c9a	compute	0.5
be1-fixture	pc-rapids	813e1c9a	gpu_download	0.006
be1-fixture	pc-rapids	813e1c9a	write	0.18
be1-fixture	pc-rapids	22fa1a5e	load	0.054
be1-fixture	pc-rapids	22fa1a5e	gpu_upload	0.033
be1-fixture	pc-rapids	22fa1a5e	compute	0.209
be1-fixture	pc-rapids	22fa1a5e	gpu_download	0.005
be1-fixture	pc-rapids	22fa1a5e	write	0.161
be1-fixture	pc-rapids	4fb25ed3	load	0.057
be1-fixture	pc-rapids	4fb25ed3	gpu_upload	0.029
be1-fixture	pc-rapids	4fb25ed3	compute	0.565
be1-fixture	pc-rapids	4fb25ed3	gpu_download	0.004
be1-fixture	pc-rapids	4fb25ed3	write	0.182
be1-fixture	pc-rapids	3416757a	load	0.054
be1-fixture	pc-rapids	3416757a	gpu_upload	0.032
be1-fixture	pc-rapids	3416757a	compute	0.556
be1-fixture	pc-rapids	3416757a	gpu_download	0.008
be1-fixture	pc-rapids	3416757a	write	0.157
be1-fixture	pc-rapids	3b57412e	load	0.055
be1-fixture	pc-rapids	3b57412e	gpu_upload	0.026
be1-fixture	pc-rapids	3b57412e	compute	0.477
be1-fixture	pc-rapids	3b57412e	gpu_download	0.004
be1-fixture	pc-rapids	3b57412e	write	0.163
be1-fixture	pc-rapids	78deb458	load	0.065
be1-fixture	pc-rapids	78deb458	gpu_upload	0.032
be1-fixture	pc-rapids	78deb458	compute	0.222
be1-fixture	pc-rapids	78deb458	gpu_download	0.003
be1-fixture	pc-rapids	78deb458	write	0.181
be1-fixture	pc-rapids	254daab8	load	0.065
be1-fixture	pc-rapids	254daab8	gpu_upload	0.031
be1-fixture	pc-rapids	254daab8	compute	0.64
be1-fixture	pc-rapids	254daab8	gpu_download	0.005
be1-fixture	pc-rapids	254daab8	write	0.189
be1-fixture	pc-rapids	ddb1f294	load	0.06
be1-fixture	pc-rapids	ddb1f294	gpu_upload	0.035
be1-fixture	pc-rapids	ddb1f294	compute	0.492
be1-fixture	pc-rapids	ddb1f294	gpu_download	0.005
be1-fixture	pc-rapids	ddb1f294	write	0.17
be1-fixture	pc-rapids	d39f411c	load	0.062
be1-fixture	pc-rapids	d39f411c	gpu_upload	0.029
be1-fixture	pc-rapids	d39f411c	compute	0.537
be1-fixture	pc-rapids	d39f411c	gpu_download	0.005
be1-fixture	pc-rapids	d39f411c	write	0.188
be1-fixture	pc-rapids	e9ad848b	load	0.055
be1-fixture	pc-rapids	e9ad848b	gpu_upload	0.029
be1-fixture	pc-rapids	e9ad848b	compute	0.221
be1-fixture	pc-rapids	e9ad848b	gpu_download	0.004
be1-fixture	pc-rapids	e9ad848b	write	0.158
be1-fixture	pc-scanpy	07ef8b80	load	0.055
be1-fixture	pc-scanpy	07ef8b80	pca	0.459
be1-fixture	pc-scanpy	07ef8b80	write	0.019
be1-fixture	pc-scanpy	7980c8af	load	0.052
be1-fixture	pc-scanpy	7980c8af	pca	0.413
be1-fixture	pc-scanpy	7980c8af	write	0.022
be1-fixture	pc-scanpy	1dab3e50	load	0.063
be1-fixture	pc-scanpy	1dab3e50	pca	0.521
be1-fixture	pc-scanpy	1dab3e50	write	0.023
be1-fixture	pc-scanpy	ae8c1da3	load	0.126
be1-fixture	pc-scanpy	ae8c1da3	pca	1.692
be1-fixture	pc-scanpy	ae8c1da3	write	0.066
be1-fixture	pc-scanpy	4f52dcab	load	0.062
be1-fixture	pc-scanpy	4f52dcab	pca	0.525
be1-fixture	pc-scanpy	4f52dcab	write	0.026
be1-fixture	pc-scanpy	67915c1a	load	0.053
be1-fixture	pc-scanpy	67915c1a	pca	0.437
be1-fixture	pc-scanpy	67915c1a	write	0.022
be1-fixture	pc-scanpy	77f7dfd9	load	0.054
be1-fixture	pc-scanpy	77f7dfd9	pca	0.422
be1-fixture	pc-scanpy	77f7dfd9	write	0.022
be1-fixture	pc-scanpy	9755b03f	load	0.056
be1-fixture	pc-scanpy	9755b03f	pca	0.427
be1-fixture	pc-scanpy	9755b03f	write	0.021
be1-fixture	pc-scanpy	27fd56a7	load	0.057
be1-fixture	pc-scanpy	27fd56a7	pca	0.441
be1-fixture	pc-scanpy	27fd56a7	write	0.021
be1-fixture	pc-scanpy	46458866	load	0.052
be1-fixture	pc-scanpy	46458866	pca	0.471
be1-fixture	pc-scanpy	46458866	write	0.024
tenx-0020k	pc-rapids	027ea001	load	0.52
tenx-0020k	pc-rapids	027ea001	gpu_upload	0.128
tenx-0020k	pc-rapids	027ea001	compute	0.681
tenx-0020k	pc-rapids	027ea001	gpu_download	0.019
tenx-0020k	pc-rapids	027ea001	write	0.943
tenx-0020k	pc-rapids	2144446e	load	0.551
tenx-0020k	pc-rapids	2144446e	gpu_upload	0.136
tenx-0020k	pc-rapids	2144446e	compute	2.938
tenx-0020k	pc-rapids	2144446e	gpu_download	0.046
tenx-0020k	pc-rapids	2144446e	write	0.958
tenx-0020k	pc-rapids	08c55646	load	0.559
tenx-0020k	pc-rapids	08c55646	gpu_upload	0.121
tenx-0020k	pc-rapids	08c55646	compute	0.771
tenx-0020k	pc-rapids	08c55646	gpu_download	0.02
tenx-0020k	pc-rapids	08c55646	write	0.956
tenx-0020k	pc-rapids	8f460a50	load	0.51
tenx-0020k	pc-rapids	8f460a50	gpu_upload	0.116
tenx-0020k	pc-rapids	8f460a50	compute	0.76
tenx-0020k	pc-rapids	8f460a50	gpu_download	0.019
tenx-0020k	pc-rapids	8f460a50	write	0.887
tenx-0020k	pc-rapids	20b14d38	load	0.57
tenx-0020k	pc-rapids	20b14d38	gpu_upload	0.131
tenx-0020k	pc-rapids	20b14d38	compute	0.713
tenx-0020k	pc-rapids	20b14d38	gpu_download	0.027
tenx-0020k	pc-rapids	20b14d38	write	1.252
tenx-0020k	pc-rapids	813e1c9a	load	0.539
tenx-0020k	pc-rapids	813e1c9a	gpu_upload	0.123
tenx-0020k	pc-rapids	813e1c9a	compute	0.765
tenx-0020k	pc-rapids	813e1c9a	gpu_download	0.018
tenx-0020k	pc-rapids	813e1c9a	write	0.899
tenx-0020k	pc-rapids	22fa1a5e	load	0.511
tenx-0020k	pc-rapids	22fa1a5e	gpu_upload	0.112
tenx-0020k	pc-rapids	22fa1a5e	compute	0.661
tenx-0020k	pc-rapids	22fa1a5e	gpu_download	0.022
tenx-0020k	pc-rapids	22fa1a5e	write	0.942
tenx-0020k	pc-rapids	4fb25ed3	load	0.551
tenx-0020k	pc-rapids	4fb25ed3	gpu_upload	0.137
tenx-0020k	pc-rapids	4fb25ed3	compute	0.76
tenx-0020k	pc-rapids	4fb25ed3	gpu_download	0.024
tenx-0020k	pc-rapids	4fb25ed3	write	0.982
tenx-0020k	pc-rapids	3416757a	load	0.523
tenx-0020k	pc-rapids	3416757a	gpu_upload	0.125
tenx-0020k	pc-rapids	3416757a	compute	0.813
tenx-0020k	pc-rapids	3416757a	gpu_download	0.018
tenx-0020k	pc-rapids	3416757a	write	0.893
tenx-0020k	pc-rapids	3b57412e	load	0.513
tenx-0020k	pc-rapids	3b57412e	gpu_upload	0.122
tenx-0020k	pc-rapids	3b57412e	compute	0.78
tenx-0020k	pc-rapids	3b57412e	gpu_download	0.027
tenx-0020k	pc-rapids	3b57412e	write	1.083
tenx-0020k	pc-rapids	78deb458	load	0.514
tenx-0020k	pc-rapids	78deb458	gpu_upload	0.128
tenx-0020k	pc-rapids	78deb458	compute	0.673
tenx-0020k	pc-rapids	78deb458	gpu_download	0.026
tenx-0020k	pc-rapids	78deb458	write	0.939
tenx-0020k	pc-rapids	254daab8	load	0.521
tenx-0020k	pc-rapids	254daab8	gpu_upload	0.122
tenx-0020k	pc-rapids	254daab8	compute	0.804
tenx-0020k	pc-rapids	254daab8	gpu_download	0.019
tenx-0020k	pc-rapids	254daab8	write	0.938
tenx-0020k	pc-rapids	ddb1f294	load	0.518
